id,name,sportsref_name,conf_name,
621,Idaho St,Idaho State,Idaho State,
622,IL Chicago,Illinois-Chicago,Illinois-Chicago,
623,Illinois,Illinois,Illinois,
624,Illinois St,Illinois State,Illinois State,
856,Incarnate Word,Incarnate Word,Incarnate Word,
625,Indiana,Indiana,Indiana,
626,Indiana St,Indiana State,Indiana State,
627,Iona,Iona,Iona,
628,Iowa,Iowa,Iowa,
629,Iowa St,Iowa State,Iowa State,
630,IPFW,IPFW,IPFW,
631,IUPUI,IUPUI,IUPUI,
632,Jackson St,Jackson State,Jackson State,
633,Jacksonville,Jacksonville,Jacksonville,
634,Jacksonville St,Jacksonville State,Jacksonville State,
635,James Madison,James Madison,James Madison,
636,Kansas,Kansas,Kansas,
637,Kansas St,Kansas State,Kansas State,
638,Kennesaw,Kennesaw State,Kennesaw State,
639,Kent,Kent State,Kent State,
640,Kentucky,Kentucky,Kentucky,
641,La Salle,La Salle,La Salle,
642,Lafayette,Lafayette,Lafayette,
643,Lamar,Lamar,Lamar,
644,Lehigh,Lehigh,Lehigh,
645,Liberty,Liberty,Liberty,
646,Lipscomb,Lipscomb,Lipscomb,
647,Long Beach St,Long Beach State,Long Beach State,
648,Long Island,Long Island University,LIU Brooklyn,
649,Longwood,Longwood,Longwood,
650,Louisiana Tech,Louisiana Tech,Louisiana Tech,
651,Louisville,Louisville,Louisville,
652,Loy Marymount,Loyola Marymount,Loyola Marymount,
653,Loyola MD,Loyola (MD),Loyola (MD),
654,Loyola-Chicago,Loyola (IL),Loyola (IL),
655,LSU,Louisiana State,LSU,
656,MA Lowell,Massachusetts Lowell,Massachusetts Lowell,
657,Maine,Maine,Maine,
658,Manhattan,Manhattan,Manhattan,
659,Marist,Marist,Marist,
660,Marquette,Marquette,Marquette,
661,Marshall,Marshall,Marshall,
662,Maryland,Maryland,Maryland,
663,Massachusetts,Massachusetts,Massachusetts,
664,McNeese St,McNeese State,McNeese State,
665,MD E Shore,Maryland-Eastern Shore,Maryland-Eastern Shore,
666,Memphis,Memphis,Memphis,
667,Mercer,Mercer,Mercer,
668,Miami FL,Miami (FL),Miami (FL),
669,Miami OH,Miami (OH),Miami (OH),
670,Michigan,Michigan,Michigan,
671,Michigan St,Michigan State,Michigan State,
672,Middle Tenn St,Middle Tennessee,Middle Tennessee,
673,Minnesota,Minnesota,Minnesota,Milwaukee
674,Mississippi,Mississippi,Ole Miss,
675,Mississippi St,Mississippi State,Mississippi State,
676,Missouri,Missouri,Missouri,
677,Missouri KC,Missouri-Kansas City,UMKC,
678,Missouri St,Missouri State,Missouri State,
679,Monmouth NJ,Monmouth,Monmouth,
680,Montana,Montana,Montana,
681,Montana St,Montana State,Montana State,
682,Morehead St,Morehead State,Morehead State,
683,Morgan St,Morgan State,Morgan State,
684,Morris Brown,,,
685,MS Valley St,Mississippi,Mississippi Valley State,
686,Mt St Mary's,Mount St. Mary's,Mount St. Mary's,
687,Murray St,Murray State,Murray State,
688,N Colorado,Northern Colorado,Northern Colorado,
689,N Dakota St,North Dakota State,North Dakota State,
690,N Illinois,Northern Illinois,Northern Illinois,
691,N Kentucky,Northern Kentucky,Northern Kentucky,
692,Navy,Navy,Navy,
693,NC A&T,North Carolina A&T,North Carolina A&T,
694,NC Central,North Carolina Central,North Carolina Central,
695,NC State,North Carolina State,North Carolina State,
696,NE Illinois,,,
697,NE Omaha,Nebraska-Omaha,Nebraska-Omaha,
698,Nebraska,Nebraska,Nebraska,
699,Nevada,Nevada,Nevada,
700,New Hampshire,New Hampshire,New Hampshire,
701,New Mexico,New Mexico,New Mexico,
702,New Mexico St,New Mexico State,New Mexico State,
703,New Orleans,New Orleans,New Orleans,
704,Niagara,Niagara,Niagara,
705,Nicholls St,Nicholls State,Nicholls State,
706,NJIT,NJIT,N.J.I.T.,
707,Norfolk St,Norfolk State,Norfolk State,
708,North Carolina,North Carolina,North Carolina,
709,North Dakota,North Dakota,North Dakota,
710,North Florida,North Florida,North Florida,
711,North Texas,North Texas,North Texas,
712,Northeastern,Northeastern,Northeastern,
713,Northern Arizona,Northern Arizona,Northern Arizona,
714,Northern Iowa,Northern Iowa,Northern Iowa,
715,Northwestern,Northwestern,Northwestern,
716,Northwestern LA,Northwestern State,Northwestern State,
717,Notre Dame,Notre Dame,Notre Dame,
718,Oakland,Oakland,Oakland,
719,Ohio,Ohio,Ohio,
720,Ohio St,Ohio State,Ohio State,
721,Oklahoma,Oklahoma,Oklahoma,
722,Oklahoma St,Oklahoma State,Oklahoma State,
723,Old Dominion,Old Dominion,Old Dominion,
724,Oral Roberts,Oral Roberts,Oral Roberts,
725,Oregon,Oregon,Oregon,
726,Oregon St,Oregon State,Oregon State,
727,Pacific,Pacific,Pacific,
728,Penn,Pennsylvania,Pennsylvania,
729,Penn St,Penn State,Penn State,
730,Pepperdine,Pepperdine,Pepperdine,
731,Pittsburgh,Pittsburgh,Pittsburgh,
732,Portland,Portland,Portland,
733,Portland St,Portland State,Portland State,
734,Prairie View,Prairie View,Prairie View A&M,
735,Presbyterian,Presbyterian,Presbyterian,
736,Princeton,Princeton,Princeton,
737,Providence,Providence,Providence,
738,Purdue,Purdue,Purdue,
739,Quinnipiac,Quinnipiac,Quinnipiac,
740,Radford,Radford,Radford,
741,Rhode Island,Rhode Island,Rhode Island,
742,Rice,Rice,Rice,
743,Richmond,Richmond,Richmond,
744,Rider,Rider,Rider,
745,Robert Morris,Robert Morris,Robert Morris,
746,Rutgers,Rutgers,Rutgers,
747,S Carolina St,South Carolina State,South Carolina State,
748,S Dakota St,South Dakota State,South Dakota State,
749,S Illinois,Southern Illinois,Southern Illinois,
750,Sacred Heart,Sacred Heart,Sacred Heart,
751,Sam Houston St,Sam Houston State,Sam Houston State,
752,Samford,Samford,Samford,
753,San Diego,San Diego,San Diego,
754,San Diego St,San Diego State,San Diego State,
755,San Francisco,San Francisco,San Francisco,
756,San Jose St,San Jose State,San Jose State,
757,Santa Barbara,California-Santa Barbara,UC Santa Barbara,
758,Santa Clara,Santa Clara,Santa Clara,
759,Savannah St,Savannah State,Savannah State,
760,SC Upstate,South Carolina Upstate,USC Upstate,
761,SE Louisiana,Southeastern Louisiana,Southeastern Louisiana,
762,SE Missouri St,Southeast Missouri State,Southeast Missouri State,
763,Seattle,Seattle,Seattle,
764,Seton Hall,Seton Hall,Seton Hall,
765,SF Austin,Stephen F. Austin,Stephen F. Austin,
766,Siena,Siena,Siena,
767,SMU,Southern Methodist,Southern Methodist,
768,South Alabama,South Alabama,South Alabama,
769,South Carolina,South Carolina,South Carolina,
770,South Dakota,South Dakota,South Dakota,
771,South Florida,South Florida,South Florida,
772,Southern Miss,Southern Miss,Southern Miss,
773,Southern Univ,Southern,Southern University,
774,Southern Utah,Southern Utah,Southern Utah,
775,St Bonaventure,St. Bonaventure,St. Bonaventure,
776,St Francis NY,St. Francis (NY),St. Francis (NY),
777,St Francis PA,St. Francis U,St. Francis U,
778,St John's,St. John's (NY),St. John's,
779,St Joseph's PA,Saint Joseph's,Saint Joseph's,
780,St Louis,Saint Louis,Saint Louis,
781,St Mary's CA,Saint Mary's (CA),Saint Mary's,
782,St Peter's,St. Peter's,St. Peter's,
783,Stanford,Stanford,Stanford,
784,Stetson,Stetson,Stetson,
785,Stony Brook,Stony Brook,Stony Brook,
786,Syracuse,Syracuse,Syracuse,
787,TAM C. Christi,Texas A&M-Corpus Christi,Texas A&M-CC,
788,TCU,TCU,TCU,
789,Temple,Temple,Temple,
790,Tennessee,Tennessee,Tennessee,
791,Tennessee St,Tennessee State,Tennessee State,
792,Tennessee Tech,Tennessee Tech,Tennessee Tech,
793,Texas,Texas,Texas,
794,Texas A&M,Texas A&M,Texas A&M,
795,Texas St,Texas State,Texas State,
796,Texas Tech,Texas Tech,Texas Tech,
797,TN Martin,Tennessee-Martin,Tennessee-Martin,
798,Toledo,Toledo,Toledo,
799,Towson,Towson,Towson,
800,Troy,Troy,Troy,
801,Tulane,Tulane,Tulane,
802,Tulsa,Tulsa,Tulsa,
803,TX Pan American,Texas-Pan American,Texas-Pan American,
804,TX Southern,Texas Southern,Texas Southern,
805,UAB,UAB,UAB,
806,UC Davis,California-Davis,UC Davis,
807,UC Irvine,California-Irvine,UC Irvine,
808,UC Riverside,California-Riverside,UC Riverside,
809,UCF,Central Florida,UCF,
810,UCLA,UCLA,UCLA,
811,ULL,Louisiana-Lafayette,Louisiana-Lafayette,
812,ULM,Louisiana-Monroe,Louisiana-Monroe,
813,UMBC,UMBC,UMBC,
814,UNC Asheville,North Carolina-Asheville,UNC Asheville,
815,UNC Greensboro,North Carolina-Greensboro,UNC Greensboro,
816,UNC Wilmington,North Carolina-Wilmington,North Carolina-Wilmington,
817,UNLV,Nevada-Las Vegas,UNLV,
818,USC,Southern California,USC,
819,UT Arlington,Texas-Arlington,Texas-Arlington,
820,UT San Antonio,UTSA,UTSA,
821,Utah,Utah,Utah,
822,Utah St,Utah State,Utah State,
823,Utah Valley,Utah Valley,Utah Valley,
824,UTEP,UTEP,UTEP,
825,VA Commonwealth,Virginia Commonwealth,Virginia Commonwealth,
826,Valparaiso,Valparaiso,Valparaiso,
827,Vanderbilt,Vanderbilt,Vanderbilt,
828,Vermont,Vermont,Vermont,
829,Villanova,Villanova,Villanova,
830,Virginia,Virginia,Virginia,
831,Virginia Tech,Virginia Tech,Virginia Tech,
832,VMI,VMI,Virginia Military,
833,W Carolina,Western Carolina,Western Carolina,
834,W Illinois,Western Illinois,Western Illinois,
835,W Kentucky,Western Kentucky,Western Kentucky,
836,W Michigan,Western Michigan,Western Michigan,
837,W Salem St,,,
838,Wagner,Wagner,Wagner,
839,Wake Forest,Wake Forest,Wake Forest,
840,Washington,Washington,Washington,
841,Washington St,Washington State,Washington State,
842,Weber St,Weber State,Weber State,
843,West Virginia,West Virginia,West Virginia,
844,WI Green Bay,Green Bay,Green Bay,
845,WI Milwaukee,Milwaukee,Milwaukee,
846,Wichita St,Wichita State,Wichita State,
847,William & Mary,William & Mary,William & Mary,
848,Winthrop,Winthrop,Winthrop,
849,Wisconsin,Wisconsin,Wisconsin,
850,Wofford,Wofford,Wofford,
851,Wright St,Wright State,Wright State,
852,Wyoming,Wyoming,Wyoming,
853,Xavier,Xavier,Xavier,
854,Yale,Yale,Yale,
855,Youngstown St,Youngstown State,Youngstown State,
