season,T1,T2,result
N,512,818,-1
N,512,821,-1
N,512,822,-1
N,512,825,-1
N,512,829,-1
N,512,835,-1
N,512,839,-1
N,512,840,-1
N,512,843,-1
N,512,849,-1
N,512,853,-1
N,524,527,-1
N,524,535,-1
N,524,536,-1
N,524,539,-1
N,524,547,-1
N,524,551,-1
N,524,552,-1
N,524,559,-1
N,524,561,-1
N,524,565,-1
N,524,569,-1
N,524,577,0
N,524,586,-1
N,524,595,-1
N,524,607,-1
N,524,623,-1
N,524,636,-1
N,524,651,-1
N,524,655,-1
N,524,660,-1
N,524,662,-1
N,524,666,-1
N,524,670,-1
N,524,671,-1
N,524,673,-1
N,524,675,-1
N,524,676,-1
N,524,682,-1
N,524,683,-1
N,524,689,-1
N,524,708,-1
N,524,714,-1
N,524,720,-1
N,524,721,-1
N,524,722,-1
N,524,731,-1
N,524,733,-1
N,524,738,-1
N,524,740,-1
N,524,745,-1
N,524,765,-1
N,524,766,-1
N,524,786,-1
N,524,789,-1
N,524,790,-1
N,524,793,-1
N,524,794,-1
N,524,810,-1
N,524,818,-1
N,524,821,-1
N,524,822,-1
N,524,825,-1
N,524,829,-1
N,524,835,-1
N,524,839,-1
N,524,840,-1
N,524,843,-1
N,524,849,-1
N,524,853,-1
N,527,535,-1
N,527,536,-1
N,527,539,-1
N,527,547,-1
N,527,551,-1
N,527,552,-1
N,527,559,-1
N,527,561,-1
N,527,565,-1
N,527,569,-1
N,527,577,-1
N,527,586,-1
N,527,595,-1
N,527,607,-1
N,527,623,-1
N,527,636,-1
N,527,651,-1
N,527,655,-1
N,527,660,-1
N,527,662,-1
N,527,666,-1
N,527,670,-1
N,527,671,-1
N,527,673,-1
N,527,675,-1
N,527,676,-1
N,527,682,-1
N,527,683,-1
N,527,689,-1
N,527,708,-1
N,527,714,-1
N,527,720,-1
N,527,721,-1
N,527,722,-1
N,527,731,-1
N,527,733,-1
N,527,738,-1
N,527,740,-1
N,527,745,-1
N,527,765,-1
N,527,766,-1
N,527,786,-1
N,527,789,-1
N,527,790,-1
N,527,793,-1
N,527,794,-1
N,527,810,-1
N,527,818,0
N,527,821,-1
N,527,822,-1
N,527,825,-1
N,527,829,-1
N,527,835,-1
N,527,839,-1
N,527,840,-1
N,527,843,-1
N,527,849,-1
N,527,853,-1
N,535,536,-1
N,535,539,-1
N,535,547,-1
N,535,551,-1
N,535,552,-1
N,535,559,-1
N,535,561,-1
N,535,565,-1
N,535,569,-1
N,535,577,-1
N,535,586,-1
N,535,595,-1
N,535,607,-1
N,535,623,-1
N,535,636,-1
N,535,651,-1
N,535,655,0
N,535,660,-1
N,535,662,-1
N,535,666,-1
N,535,670,-1
N,535,671,-1
N,535,673,-1
N,535,675,-1
N,535,676,-1
N,535,682,-1
N,535,683,-1
N,535,689,-1
N,535,708,-1
N,535,714,-1
N,535,720,-1
N,535,721,-1
N,535,722,-1
N,535,731,-1
N,535,733,-1
N,535,738,-1
N,535,740,-1
N,535,745,-1
N,535,765,-1
N,535,766,-1
N,535,786,-1
N,535,789,-1
N,535,790,-1
N,535,793,-1
N,535,794,-1
N,535,810,-1
N,535,818,-1
N,535,821,-1
N,535,822,-1
N,535,825,-1
N,535,829,-1
N,535,835,-1
N,535,839,-1
N,535,840,-1
N,535,843,-1
N,535,849,-1
N,535,853,-1
N,536,539,-1
N,536,547,-1
N,536,551,-1
N,536,552,-1
N,536,559,-1
N,536,561,-1
N,536,565,-1
N,536,569,-1
N,536,577,-1
N,536,586,-1
N,536,595,-1
N,536,607,-1
N,536,623,-1
N,536,636,-1
N,536,651,-1
N,536,655,-1
N,536,660,-1
N,536,662,-1
N,536,666,-1
N,536,670,-1
N,536,671,-1
N,536,673,-1
N,536,675,-1
N,536,676,-1
N,536,682,-1
N,536,683,-1
N,536,689,-1
N,536,708,-1
N,536,714,-1
N,536,720,-1
N,536,721,-1
N,536,722,-1
N,536,731,-1
N,536,733,-1
N,536,738,-1
N,536,740,-1
N,536,745,-1
N,536,765,-1
N,536,766,-1
N,536,786,-1
N,536,789,-1
N,536,790,-1
N,536,793,-1
N,536,794,0
N,536,810,-1
N,536,818,-1
N,536,821,-1
N,536,822,-1
N,536,825,-1
N,536,829,-1
N,536,835,-1
N,536,839,-1
N,536,840,-1
N,536,843,-1
N,536,849,-1
N,536,853,-1
N,539,547,-1
N,539,551,-1
N,539,552,-1
N,539,559,-1
N,539,561,-1
N,539,565,-1
N,539,569,-1
N,539,577,-1
N,539,586,-1
N,539,595,-1
N,539,607,-1
N,539,623,-1
N,539,636,-1
N,539,651,-1
N,539,655,-1
N,539,660,-1
N,539,662,0
N,539,666,-1
N,539,670,-1
N,539,671,-1
N,539,673,-1
N,539,675,-1
N,539,676,-1
N,539,682,-1
N,539,683,-1
N,539,689,-1
N,539,708,-1
N,539,714,-1
N,539,720,-1
N,539,721,-1
N,539,722,-1
N,539,731,-1
N,539,733,-1
N,539,738,-1
N,539,740,-1
N,539,745,-1
N,539,765,-1
N,539,766,-1
N,539,786,-1
N,539,789,-1
N,539,790,-1
N,539,793,-1
N,539,794,-1
N,539,810,-1
N,539,818,-1
N,539,821,-1
N,539,822,-1
N,539,825,-1
N,539,829,-1
N,539,835,-1
N,539,839,-1
N,539,840,-1
N,539,843,-1
N,539,849,-1
N,539,853,-1
N,547,551,-1
N,547,552,-1
N,547,559,0
N,547,561,-1
N,547,565,-1
N,547,569,-1
N,547,577,-1
N,547,586,-1
N,547,595,-1
N,547,607,-1
N,547,623,-1
N,547,636,-1
N,547,651,-1
N,547,655,-1
N,547,660,-1
N,547,662,-1
N,547,666,-1
N,547,670,-1
N,547,671,-1
N,547,673,-1
N,547,675,-1
N,547,676,-1
N,547,682,-1
N,547,683,-1
N,547,689,-1
N,547,708,-1
N,547,714,-1
N,547,720,-1
N,547,721,-1
N,547,722,-1
N,547,731,-1
N,547,733,-1
N,547,738,-1
N,547,740,-1
N,547,745,-1
N,547,765,-1
N,547,766,-1
N,547,786,-1
N,547,789,-1
N,547,790,-1
N,547,793,-1
N,547,794,-1
N,547,810,-1
N,547,818,-1
N,547,821,-1
N,547,822,-1
N,547,825,-1
N,547,829,-1
N,547,835,-1
N,547,839,-1
N,547,840,-1
N,547,843,-1
N,547,849,-1
N,547,853,-1
N,551,552,-1
N,551,559,-1
N,551,561,-1
N,551,565,-1
N,551,569,-1
N,551,577,-1
N,551,586,-1
N,551,595,-1
N,551,607,-1
N,551,623,-1
N,551,636,-1
N,551,651,-1
N,551,655,-1
N,551,660,-1
N,551,662,-1
N,551,666,-1
N,551,670,0
N,551,671,-1
N,551,673,-1
N,551,675,-1
N,551,676,-1
N,551,682,-1
N,551,683,-1
N,551,689,-1
N,551,708,-1
N,551,714,-1
N,551,720,-1
N,551,721,-1
N,551,722,-1
N,551,731,-1
N,551,733,-1
N,551,738,-1
N,551,740,-1
N,551,745,-1
N,551,765,-1
N,551,766,-1
N,551,786,-1
N,551,789,-1
N,551,790,-1
N,551,793,-1
N,551,794,-1
N,551,810,-1
N,551,818,-1
N,551,821,-1
N,551,822,-1
N,551,825,-1
N,551,829,-1
N,551,835,-1
N,551,839,-1
N,551,840,-1
N,551,843,-1
N,551,849,-1
N,551,853,-1
N,552,559,-1
N,552,561,-1
N,552,565,-1
N,552,569,-1
N,552,577,-1
N,552,586,-1
N,552,595,-1
N,552,607,-1
N,552,623,-1
N,552,636,-1
N,552,651,-1
N,552,655,-1
N,552,660,-1
N,552,662,-1
N,552,666,-1
N,552,670,-1
N,552,671,-1
N,552,673,-1
N,552,675,-1
N,552,676,-1
N,552,682,-1
N,552,683,-1
N,552,689,-1
N,552,708,-1
N,552,714,-1
N,552,720,-1
N,552,721,-1
N,552,722,-1
N,552,731,-1
N,552,733,-1
N,552,738,-1
N,552,740,-1
N,552,745,-1
N,552,765,-1
N,552,766,-1
N,552,786,-1
N,552,789,-1
N,552,790,-1
N,552,793,-1
N,552,794,-1
N,552,810,-1
N,552,818,-1
N,552,821,-1
N,552,822,-1
N,552,825,-1
N,552,829,-1
N,552,835,-1
N,552,839,1
N,552,840,-1
N,552,843,-1
N,552,849,-1
N,552,853,-1
N,559,561,-1
N,559,565,-1
N,559,569,-1
N,559,577,-1
N,559,586,-1
N,559,595,-1
N,559,607,-1
N,559,623,-1
N,559,636,-1
N,559,651,-1
N,559,655,-1
N,559,660,-1
N,559,662,-1
N,559,666,-1
N,559,670,-1
N,559,671,0
N,559,673,-1
N,559,675,-1
N,559,676,1
N,559,682,-1
N,559,683,-1
N,559,689,-1
N,559,708,-1
N,559,714,-1
N,559,720,-1
N,559,721,-1
N,559,722,-1
N,559,731,-1
N,559,733,-1
N,559,738,1
N,559,740,-1
N,559,745,-1
N,559,765,-1
N,559,766,-1
N,559,786,-1
N,559,789,-1
N,559,790,-1
N,559,793,-1
N,559,794,1
N,559,810,-1
N,559,818,-1
N,559,821,-1
N,559,822,-1
N,559,825,-1
N,559,829,-1
N,559,835,-1
N,559,839,-1
N,559,840,-1
N,559,843,-1
N,559,849,-1
N,559,853,-1
N,561,565,-1
N,561,569,-1
N,561,577,-1
N,561,586,-1
N,561,595,-1
N,561,607,-1
N,561,623,-1
N,561,636,-1
N,561,651,-1
N,561,655,-1
N,561,660,-1
N,561,662,-1
N,561,666,-1
N,561,670,-1
N,561,671,-1
N,561,673,-1
N,561,675,-1
N,561,676,0
N,561,682,-1
N,561,683,-1
N,561,689,-1
N,561,708,-1
N,561,714,-1
N,561,720,-1
N,561,721,-1
N,561,722,-1
N,561,731,-1
N,561,733,-1
N,561,738,-1
N,561,740,-1
N,561,745,-1
N,561,765,-1
N,561,766,-1
N,561,786,-1
N,561,789,-1
N,561,790,-1
N,561,793,-1
N,561,794,-1
N,561,810,-1
N,561,818,-1
N,561,821,-1
N,561,822,-1
N,561,825,-1
N,561,829,-1
N,561,835,-1
N,561,839,-1
N,561,840,-1
N,561,843,-1
N,561,849,-1
N,561,853,-1
N,565,569,-1
N,565,577,-1
N,565,586,-1
N,565,595,-1
N,565,607,-1
N,565,623,-1
N,565,636,-1
N,565,651,-1
N,565,655,-1
N,565,660,-1
N,565,662,-1
N,565,666,0
N,565,670,-1
N,565,671,-1
N,565,673,-1
N,565,675,-1
N,565,676,-1
N,565,682,-1
N,565,683,-1
N,565,689,-1
N,565,708,-1
N,565,714,-1
N,565,720,-1
N,565,721,-1
N,565,722,-1
N,565,731,-1
N,565,733,-1
N,565,738,-1
N,565,740,-1
N,565,745,-1
N,565,765,-1
N,565,766,-1
N,565,786,-1
N,565,789,-1
N,565,790,-1
N,565,793,-1
N,565,794,-1
N,565,810,-1
N,565,818,-1
N,565,821,-1
N,565,822,-1
N,565,825,-1
N,565,829,-1
N,565,835,-1
N,565,839,-1
N,565,840,-1
N,565,843,-1
N,565,849,-1
N,565,853,-1
N,569,577,-1
N,569,586,-1
N,569,595,-1
N,569,607,-1
N,569,623,-1
N,569,636,0
N,569,651,-1
N,569,655,-1
N,569,660,-1
N,569,662,-1
N,569,666,-1
N,569,670,-1
N,569,671,-1
N,569,673,-1
N,569,675,-1
N,569,676,-1
N,569,682,-1
N,569,683,-1
N,569,689,-1
N,569,708,-1
N,569,714,-1
N,569,720,-1
N,569,721,-1
N,569,722,-1
N,569,731,-1
N,569,733,-1
N,569,738,-1
N,569,740,-1
N,569,745,-1
N,569,765,-1
N,569,766,-1
N,569,786,-1
N,569,789,-1
N,569,790,-1
N,569,793,-1
N,569,794,-1
N,569,810,-1
N,569,818,-1
N,569,821,-1
N,569,822,-1
N,569,825,-1
N,569,829,-1
N,569,835,-1
N,569,839,-1
N,569,840,-1
N,569,843,1
N,569,849,-1
N,569,853,-1
N,577,586,-1
N,577,595,-1
N,577,607,-1
N,577,623,-1
N,577,636,-1
N,577,651,-1
N,577,655,-1
N,577,660,-1
N,577,662,-1
N,577,666,-1
N,577,670,-1
N,577,671,-1
N,577,673,-1
N,577,675,-1
N,577,676,-1
N,577,682,-1
N,577,683,-1
N,577,689,-1
N,577,708,-1
N,577,714,-1
N,577,720,-1
N,577,721,-1
N,577,722,-1
N,577,731,-1
N,577,733,-1
N,577,738,-1
N,577,740,-1
N,577,745,-1
N,577,765,-1
N,577,766,-1
N,577,786,-1
N,577,789,-1
N,577,790,-1
N,577,793,1
N,577,794,-1
N,577,810,-1
N,577,818,-1
N,577,821,-1
N,577,822,-1
N,577,825,-1
N,577,829,0
N,577,835,-1
N,577,839,-1
N,577,840,-1
N,577,843,-1
N,577,849,-1
N,577,853,-1
N,586,595,-1
N,586,607,-1
N,586,623,-1
N,586,636,-1
N,586,651,-1
N,586,655,-1
N,586,660,-1
N,586,662,-1
N,586,666,-1
N,586,670,-1
N,586,671,-1
N,586,673,-1
N,586,675,-1
N,586,676,-1
N,586,682,-1
N,586,683,-1
N,586,689,-1
N,586,708,-1
N,586,714,-1
N,586,720,-1
N,586,721,-1
N,586,722,-1
N,586,731,0
N,586,733,-1
N,586,738,-1
N,586,740,-1
N,586,745,-1
N,586,765,-1
N,586,766,-1
N,586,786,-1
N,586,789,-1
N,586,790,-1
N,586,793,-1
N,586,794,-1
N,586,810,-1
N,586,818,-1
N,586,821,-1
N,586,822,-1
N,586,825,-1
N,586,829,-1
N,586,835,-1
N,586,839,-1
N,586,840,-1
N,586,843,-1
N,586,849,-1
N,586,853,-1
N,595,607,-1
N,595,623,-1
N,595,636,-1
N,595,651,-1
N,595,655,-1
N,595,660,-1
N,595,662,-1
N,595,666,-1
N,595,670,-1
N,595,671,-1
N,595,673,-1
N,595,675,-1
N,595,676,-1
N,595,682,-1
N,595,683,-1
N,595,689,-1
N,595,708,-1
N,595,714,-1
N,595,720,-1
N,595,721,-1
N,595,722,-1
N,595,731,-1
N,595,733,-1
N,595,738,-1
N,595,740,-1
N,595,745,-1
N,595,765,-1
N,595,766,-1
N,595,786,-1
N,595,789,-1
N,595,790,-1
N,595,793,-1
N,595,794,-1
N,595,810,-1
N,595,818,-1
N,595,821,-1
N,595,822,-1
N,595,825,-1
N,595,829,-1
N,595,835,-1
N,595,839,-1
N,595,840,-1
N,595,843,-1
N,595,849,0
N,595,853,-1
N,607,623,-1
N,607,636,-1
N,607,651,-1
N,607,655,-1
N,607,660,-1
N,607,662,-1
N,607,666,-1
N,607,670,-1
N,607,671,-1
N,607,673,-1
N,607,675,-1
N,607,676,-1
N,607,682,-1
N,607,683,-1
N,607,689,-1
N,607,708,0
N,607,714,-1
N,607,720,-1
N,607,721,-1
N,607,722,-1
N,607,731,-1
N,607,733,-1
N,607,738,-1
N,607,740,-1
N,607,745,-1
N,607,765,-1
N,607,766,-1
N,607,786,-1
N,607,789,-1
N,607,790,-1
N,607,793,-1
N,607,794,-1
N,607,810,-1
N,607,818,-1
N,607,821,-1
N,607,822,-1
N,607,825,-1
N,607,829,-1
N,607,835,1
N,607,839,-1
N,607,840,-1
N,607,843,-1
N,607,849,-1
N,607,853,-1
N,623,636,-1
N,623,651,-1
N,623,655,-1
N,623,660,-1
N,623,662,-1
N,623,666,-1
N,623,670,-1
N,623,671,-1
N,623,673,-1
N,623,675,-1
N,623,676,-1
N,623,682,-1
N,623,683,-1
N,623,689,-1
N,623,708,-1
N,623,714,-1
N,623,720,-1
N,623,721,-1
N,623,722,-1
N,623,731,-1
N,623,733,-1
N,623,738,-1
N,623,740,-1
N,623,745,-1
N,623,765,-1
N,623,766,-1
N,623,786,-1
N,623,789,-1
N,623,790,-1
N,623,793,-1
N,623,794,-1
N,623,810,-1
N,623,818,-1
N,623,821,-1
N,623,822,-1
N,623,825,-1
N,623,829,-1
N,623,835,0
N,623,839,-1
N,623,840,-1
N,623,843,-1
N,623,849,-1
N,623,853,-1
N,636,651,-1
N,636,655,-1
N,636,660,-1
N,636,662,-1
N,636,666,-1
N,636,670,-1
N,636,671,0
N,636,673,-1
N,636,675,-1
N,636,676,-1
N,636,682,-1
N,636,683,-1
N,636,689,1
N,636,708,-1
N,636,714,-1
N,636,720,-1
N,636,721,-1
N,636,722,-1
N,636,731,-1
N,636,733,-1
N,636,738,-1
N,636,740,-1
N,636,745,-1
N,636,765,-1
N,636,766,-1
N,636,786,-1
N,636,789,-1
N,636,790,-1
N,636,793,-1
N,636,794,-1
N,636,810,-1
N,636,818,-1
N,636,821,-1
N,636,822,-1
N,636,825,-1
N,636,829,-1
N,636,835,-1
N,636,839,-1
N,636,840,-1
N,636,843,-1
N,636,849,-1
N,636,853,-1
N,651,655,-1
N,651,660,-1
N,651,662,-1
N,651,666,-1
N,651,670,-1
N,651,671,0
N,651,673,-1
N,651,675,-1
N,651,676,-1
N,651,682,1
N,651,683,-1
N,651,689,-1
N,651,708,-1
N,651,714,-1
N,651,720,-1
N,651,721,-1
N,651,722,-1
N,651,731,-1
N,651,733,-1
N,651,738,-1
N,651,740,-1
N,651,745,-1
N,651,765,-1
N,651,766,1
N,651,786,-1
N,651,789,-1
N,651,790,-1
N,651,793,-1
N,651,794,-1
N,651,810,-1
N,651,818,-1
N,651,821,-1
N,651,822,-1
N,651,825,-1
N,651,829,-1
N,651,835,-1
N,651,839,-1
N,651,840,-1
N,651,843,-1
N,651,849,-1
N,651,853,-1
N,655,660,-1
N,655,662,-1
N,655,666,-1
N,655,670,-1
N,655,671,-1
N,655,673,-1
N,655,675,-1
N,655,676,-1
N,655,682,-1
N,655,683,-1
N,655,689,-1
N,655,708,0
N,655,714,-1
N,655,720,-1
N,655,721,-1
N,655,722,-1
N,655,731,-1
N,655,733,-1
N,655,738,-1
N,655,740,-1
N,655,745,-1
N,655,765,-1
N,655,766,-1
N,655,786,-1
N,655,789,-1
N,655,790,-1
N,655,793,-1
N,655,794,-1
N,655,810,-1
N,655,818,-1
N,655,821,-1
N,655,822,-1
N,655,825,-1
N,655,829,-1
N,655,835,-1
N,655,839,-1
N,655,840,-1
N,655,843,-1
N,655,849,-1
N,655,853,-1
N,660,662,-1
N,660,666,-1
N,660,670,-1
N,660,671,-1
N,660,673,-1
N,660,675,-1
N,660,676,0
N,660,682,-1
N,660,683,-1
N,660,689,-1
N,660,708,-1
N,660,714,-1
N,660,720,-1
N,660,721,-1
N,660,722,-1
N,660,731,-1
N,660,733,-1
N,660,738,-1
N,660,740,-1
N,660,745,-1
N,660,765,-1
N,660,766,-1
N,660,786,-1
N,660,789,-1
N,660,790,-1
N,660,793,-1
N,660,794,-1
N,660,810,-1
N,660,818,-1
N,660,821,-1
N,660,822,1
N,660,825,-1
N,660,829,-1
N,660,835,-1
N,660,839,-1
N,660,840,-1
N,660,843,-1
N,660,849,-1
N,660,853,-1
N,662,666,0
N,662,670,-1
N,662,671,-1
N,662,673,-1
N,662,675,-1
N,662,676,-1
N,662,682,-1
N,662,683,-1
N,662,689,-1
N,662,708,-1
N,662,714,-1
N,662,720,-1
N,662,721,-1
N,662,722,-1
N,662,731,-1
N,662,733,-1
N,662,738,-1
N,662,740,-1
N,662,745,-1
N,662,765,-1
N,662,766,-1
N,662,786,-1
N,662,789,-1
N,662,790,-1
N,662,793,-1
N,662,794,-1
N,662,810,-1
N,662,818,-1
N,662,821,-1
N,662,822,-1
N,662,825,-1
N,662,829,-1
N,662,835,-1
N,662,839,-1
N,662,840,-1
N,662,843,-1
N,662,849,-1
N,662,853,-1
N,666,670,-1
N,666,671,-1
N,666,673,-1
N,666,675,-1
N,666,676,0
N,666,682,-1
N,666,683,-1
N,666,689,-1
N,666,708,-1
N,666,714,-1
N,666,720,-1
N,666,721,-1
N,666,722,-1
N,666,731,-1
N,666,733,-1
N,666,738,-1
N,666,740,-1
N,666,745,-1
N,666,765,-1
N,666,766,-1
N,666,786,-1
N,666,789,-1
N,666,790,-1
N,666,793,-1
N,666,794,-1
N,666,810,-1
N,666,818,-1
N,666,821,-1
N,666,822,-1
N,666,825,-1
N,666,829,-1
N,666,835,-1
N,666,839,-1
N,666,840,-1
N,666,843,-1
N,666,849,-1
N,666,853,-1
N,670,671,-1
N,670,673,-1
N,670,675,-1
N,670,676,-1
N,670,682,-1
N,670,683,-1
N,670,689,-1
N,670,708,-1
N,670,714,-1
N,670,720,-1
N,670,721,0
N,670,722,-1
N,670,731,-1
N,670,733,-1
N,670,738,-1
N,670,740,-1
N,670,745,-1
N,670,765,-1
N,670,766,-1
N,670,786,-1
N,670,789,-1
N,670,790,-1
N,670,793,-1
N,670,794,-1
N,670,810,-1
N,670,818,-1
N,670,821,-1
N,670,822,-1
N,670,825,-1
N,670,829,-1
N,670,835,-1
N,670,839,-1
N,670,840,-1
N,670,843,-1
N,670,849,-1
N,670,853,-1
N,671,673,-1
N,671,675,-1
N,671,676,-1
N,671,682,-1
N,671,683,-1
N,671,689,-1
N,671,708,0
N,671,714,-1
N,671,720,-1
N,671,721,-1
N,671,722,-1
N,671,731,-1
N,671,733,-1
N,671,738,-1
N,671,740,-1
N,671,745,1
N,671,765,-1
N,671,766,-1
N,671,786,-1
N,671,789,-1
N,671,790,-1
N,671,793,-1
N,671,794,-1
N,671,810,-1
N,671,818,1
N,671,821,-1
N,671,822,-1
N,671,825,-1
N,671,829,-1
N,671,835,-1
N,671,839,-1
N,671,840,-1
N,671,843,-1
N,671,849,-1
N,671,853,-1
N,673,675,-1
N,673,676,-1
N,673,682,-1
N,673,683,-1
N,673,689,-1
N,673,708,-1
N,673,714,-1
N,673,720,-1
N,673,721,-1
N,673,722,-1
N,673,731,-1
N,673,733,-1
N,673,738,-1
N,673,740,-1
N,673,745,-1
N,673,765,-1
N,673,766,-1
N,673,786,-1
N,673,789,-1
N,673,790,-1
N,673,793,0
N,673,794,-1
N,673,810,-1
N,673,818,-1
N,673,821,-1
N,673,822,-1
N,673,825,-1
N,673,829,-1
N,673,835,-1
N,673,839,-1
N,673,840,-1
N,673,843,-1
N,673,849,-1
N,673,853,-1
N,675,676,-1
N,675,682,-1
N,675,683,-1
N,675,689,-1
N,675,708,-1
N,675,714,-1
N,675,720,-1
N,675,721,-1
N,675,722,-1
N,675,731,-1
N,675,733,-1
N,675,738,-1
N,675,740,-1
N,675,745,-1
N,675,765,-1
N,675,766,-1
N,675,786,-1
N,675,789,-1
N,675,790,-1
N,675,793,-1
N,675,794,-1
N,675,810,-1
N,675,818,-1
N,675,821,-1
N,675,822,-1
N,675,825,-1
N,675,829,-1
N,675,835,-1
N,675,839,-1
N,675,840,0
N,675,843,-1
N,675,849,-1
N,675,853,-1
N,676,682,-1
N,676,683,-1
N,676,689,-1
N,676,708,-1
N,676,714,-1
N,676,720,-1
